Code,Country,Population_2020,Net_Change,Net_Migrants,Yearly_Change,Fert_Rate,Med_Age,Urban_Pop_Perc
CHN,China,1439323776,5540090,-348399,0.0039,1.7,38,0.61
IND,India,1380004385,13586631,-532687,0.0099,2.2,28,0.35
USA,United States,331002651,1937734,954806,0.0059,1.8,38,0.83
IDN,Indonesia,273523615,2898047,-98955,0.0107,2.3,30,0.56
PAK,Pakistan,220892340,4327022,-233379,0.02,3.6,23,0.35
BRA,Brazil,212559417,1509890,21200,0.0072,1.7,33,0.88
NGA,Nigeria,206139589,5175990,-60000,0.0258,5.4,18,0.52
BGD,Bangladesh,164689383,1643222,-369501,0.0101,2.1,28,0.39
RUS,Russia,145934462,62206,182456,0.0004,1.8,40,0.74
MEX,Mexico,128932753,1357224,-60000,0.0106,2.1,29,0.84
JPN,Japan,126476461,-383840,71560,-0.003,1.4,48,0.92
ETH,Ethiopia,114963588,2884858,30000,0.0257,4.3,19,0.21
PHL,Philippines,109581078,1464463,-67152,0.0135,2.6,26,0.47
EGY,Egypt,102334404,1946331,-38033,0.0194,3.3,25,0.43
VNM,Vietnam,97338579,876473,-80000,0.0091,2.1,32,0.38
COD,DR Congo,89561403,2770836,23861,0.0319,6,17,0.46
TUR,Turkey,84339067,909452,283922,0.0109,2.1,32,0.76
IRN,Iran,83992949,1079043,-55000,0.013,2.2,32,0.76
DEU,Germany,83783942,266897,543822,0.0032,1.6,46,0.76
THA,Thailand,69799978,174396,19444,0.0025,1.5,40,0.51
GBR,United Kingdom,67886011,355839,260650,0.0053,1.8,40,0.83
FRA,France,65273511,143783,36527,0.0022,1.9,42,0.82
ITA,Italy,60461826,-88249,148943,-0.0015,1.3,47,0.69
TZA,Tanzania,59734218,1728755,-40076,0.0298,4.9,18,0.37
ZAF,South Africa,59308690,750420,145405,0.0128,2.4,28,0.67
MMR,Myanmar,54409800,364380,-163313,0.0067,2.2,29,0.31
KEN,Kenya,53771296,1197323,-10000,0.0228,3.5,20,0.28
KOR,South Korea,51269185,43877,11731,0.0009,1.1,44,0.82
COL,Colombia,50882891,543448,204796,0.0108,1.8,31,0.8
ESP,Spain,46754778,18002,40000,0.0004,1.3,45,0.8
UGA,Uganda,45741007,1471413,168694,0.0332,5,17,0.26
ARG,Argentina,45195774,415097,4800,0.0093,2.3,32,0.93
DZA,Algeria,43851044,797990,-10000,0.0185,3.1,29,0.73
SDN,Sudan,43849260,1036022,-50000,0.0242,4.4,20,0.35
UKR,Ukraine,43733762,-259876,10000,-0.0059,1.4,41,0.69
IRQ,Iraq,40222493,912710,7834,0.0232,3.7,21,0.73
AFG,Afghanistan,38928346,886592,-62920,0.0233,4.6,18,0.25
POL,Poland,37846611,-41157,-29395,-0.0011,1.4,42,0.6
CAN,Canada,37742154,331107,242032,0.0089,1.5,41,0.81
MAR,Morocco,36910560,438791,-51419,0.012,2.4,30,0.64
SAU,Saudi Arabia,34813871,545343,134979,0.0159,2.3,32,0.84
UZB,Uzbekistan,33469203,487487,-8863,0.0148,2.4,28,0.5
PER,Peru,32971854,461401,99069,0.0142,2.3,31,0.79
AGO,Angola,32866272,1040977,6413,0.0327,5.6,17,0.67
MYS,Malaysia,32365999,416222,50000,0.013,2,30,0.78
MOZ,Mozambique,31255435,889399,-5000,0.0293,4.9,18,0.38
GHA,Ghana,31072940,655084,-10000,0.0215,3.9,22,0.57
YEM,Yemen,29825964,664042,-30000,0.0228,3.8,20,0.38
NPL,Nepal,29136808,528098,41710,0.0185,1.9,25,0.21
VEN,Venezuela,28435940,-79889,-653249,-0.0028,2.3,30,N.A.
MDG,Madagascar,27691018,721711,-1500,0.0268,4.1,20,0.39
CMR,Cameroon,26545863,669483,-4800,0.0259,4.6,19,0.56
CIV,Côte d'Ivoire,26378274,661730,-8000,0.0257,4.7,19,0.51
PRK,North Korea,25778816,112655,-5403,0.0044,1.9,35,0.63
AUS,Australia,25499884,296686,158246,0.0118,1.8,38,0.86
NER,Niger,24206644,895929,4000,0.0384,7,15,0.17
TWN,Taiwan,23816775,42899,30001,0.0018,1.2,42,0.79
LKA,Sri Lanka,21413249,89516,-97986,0.0042,2.2,34,0.18
BFA,Burkina Faso,20903273,581895,-25000,0.0286,5.2,18,0.31
MLI,Mali,20250833,592802,-40000,0.0302,5.9,16,0.44
ROU,Romania,19237691,-126866,-73999,-0.0066,1.6,43,0.55
MWI,Malawi,19129952,501205,-16053,0.0269,4.3,18,0.18
CHL,Chile,19116201,164163,111708,0.0087,1.7,35,0.85
KAZ,Kazakhstan,18776707,225280,-18000,0.0121,2.8,31,0.58
ZMB,Zambia,18383955,522925,-8000,0.0293,4.7,18,0.45
GTM,Guatemala,17915568,334096,-9215,0.019,2.9,23,0.52
ECU,Ecuador,17643054,269392,36400,0.0155,2.4,28,0.63
SYR,Syria,17500658,430523,-427391,0.0252,2.8,26,0.6
NLD,Netherlands,17134872,37742,16000,0.0022,1.7,43,0.92
SEN,Senegal,16743927,447563,-20000,0.0275,4.7,19,0.49
KHM,Cambodia,16718965,232423,-30000,0.0141,2.5,26,0.24
TCD,Chad,16425864,478988,2000,0.03,5.8,17,0.23
SOM,Somalia,15893222,450317,-40000,0.0292,6.1,17,0.47
ZWE,Zimbabwe,14862924,217456,-116858,0.0148,3.6,19,0.38
GIN,Guinea,13132795,361549,-4000,0.0283,4.7,18,0.39
RWA,Rwanda,12952218,325268,-9000,0.0258,4.1,20,0.18
BEN,Benin,12123200,322049,-2000,0.0273,4.9,19,0.48
BDI,Burundi,11890784,360204,2001,0.0312,5.5,17,0.14
TUN,Tunisia,11818619,123900,-4000,0.0106,2.2,33,0.7
BOL,Bolivia,11673021,159921,-9504,0.0139,2.8,26,0.69
BEL,Belgium,11589623,50295,48000,0.0044,1.7,42,0.98
HTI,Haiti,11402528,139451,-35000,0.0124,3,24,0.57
CUB,Cuba,11326616,-6867,-14400,-0.0006,1.6,42,0.78
SDS,South Sudan,11193725,131612,-174200,0.0119,4.7,19,0.25
DOM,Dominican Republic,10847910,108952,-30000,0.0101,2.4,28,0.85
CZE,Czech Republic (Czechia),10708981,19772,22011,0.0018,1.6,43,0.74
GRC,Greece,10423054,-50401,-16000,-0.0048,1.3,46,0.85
JOR,Jordan,10203134,101440,10220,0.01,2.8,24,0.91
PRT,Portugal,10196709,-29478,-6000,-0.0029,1.3,46,0.66
AZE,Azerbaijan,10139177,91459,1200,0.0091,2.1,32,0.56
SWE,Sweden,10099265,62886,40000,0.0063,1.9,41,0.88
HND,Honduras,9904607,158490,-6800,0.0163,2.5,24,0.57
ARE,United Arab Emirates,9890402,119873,40000,0.0123,1.4,33,0.86
HUN,Hungary,9660351,-24328,6000,-0.0025,1.5,43,0.72
TJK,Tajikistan,9537645,216627,-20000,0.0232,3.6,22,0.27
BLR,Belarus,9449323,-3088,8730,-0.0003,1.7,40,0.79
AUT,Austria,9006398,51296,65000,0.0057,1.5,43,0.57
PNG,Papua New Guinea,8947024,170915,-800,0.0195,3.6,22,0.13
SRB,Serbia,8737371,-34864,4000,-0.004,1.5,42,0.56
ISR,Israel,8655535,136158,10000,0.016,3,30,0.93
CHE,Switzerland,8654622,63257,52000,0.0074,1.5,43,0.74
TGO,Togo,8278724,196358,-2000,0.0243,4.4,19,0.43
SLE,Sierra Leone,7976983,163768,-4200,0.021,4.3,19,0.43
,Hong Kong,7496981,60827,29308,0.0082,1.3,45,N.A.
LAO,Laos,7275560,106105,-14704,0.0148,2.7,24,0.36
PRY,Paraguay,7132538,87902,-16556,0.0125,2.4,26,0.62
BGR,Bulgaria,6948445,-51674,-4800,-0.0074,1.6,45,0.76
LBY,Libya,6871292,93840,-1999,0.0138,2.3,29,0.78
LBN,Lebanon,6825445,-30268,-30012,-0.0044,2.1,30,0.78
NIC,Nicaragua,6624554,79052,-21272,0.0121,2.4,26,0.57
KGZ,Kyrgyzstan,6524195,108345,-4000,0.0169,3,26,0.36
SLV,El Salvador,6486205,32652,-40539,0.0051,2.1,28,0.73
TKM,Turkmenistan,6031200,89111,-5000,0.015,2.8,27,0.53
,Singapore,5850342,46005,27028,0.0079,1.2,42,N.A.
DNK,Denmark,5792202,20326,15200,0.0035,1.8,42,0.88
FIN,Finland,5540720,8564,14000,0.0015,1.5,43,0.86
COG,Congo,5518087,137579,-4000,0.0256,4.5,19,0.7
SVK,Slovakia,5459642,2629,1485,0.0005,1.5,41,0.54
NOR,Norway,5421241,42384,28000,0.0079,1.7,40,0.83
OMN,Oman,5106626,131640,87400,0.0265,2.9,31,0.87
PSX,State of Palestine,5101414,119994,-10563,0.0241,3.7,21,0.8
CRI,Costa Rica,5094118,46557,4200,0.0092,1.8,33,0.8
LBR,Liberia,5057681,120307,-5000,0.0244,4.4,19,0.53
IRL,Ireland,4937786,55291,23604,0.0113,1.8,38,0.63
CAF,Central African Republic,4829767,84582,-40000,0.0178,4.8,18,0.43
NZL,New Zealand,4822233,39170,14881,0.0082,1.9,38,0.87
MRT,Mauritania,4649658,123962,5000,0.0274,4.6,20,0.57
PAN,Panama,4314767,68328,11200,0.0161,2.5,30,0.68
KWT,Kuwait,4270571,63488,39520,0.0151,2.1,37,N.A.
HRV,Croatia,4105267,-25037,-8001,-0.0061,1.4,44,0.58
MDA,Moldova,4033963,-9300,-1387,-0.0023,1.3,38,0.43
GEO,Georgia,3989167,-7598,-10000,-0.0019,2.1,38,0.58
ERI,Eritrea,3546421,49304,-39858,0.0141,4.1,19,0.63
URY,Uruguay,3473730,11996,-3000,0.0035,2,36,0.96
BIH,Bosnia and Herzegovina,3280819,-20181,-21585,-0.0061,1.3,43,0.52
MNG,Mongolia,3278290,53123,-852,0.0165,2.9,28,0.67
ARM,Armenia,2963243,5512,-4998,0.0019,1.8,35,0.63
JAM,Jamaica,2961167,12888,-11332,0.0044,2,31,0.55
QAT,Qatar,2881053,48986,40000,0.0173,1.9,32,0.96
ALB,Albania,2877797,-3120,-14000,-0.0011,1.6,36,0.63
PRI,Puerto Rico,2860853,-72555,-97986,-0.0247,1.2,44,N.A.
LTU,Lithuania,2722289,-37338,-32780,-0.0135,1.7,45,0.71
NAM,Namibia,2540905,46375,-4806,0.0186,3.4,22,0.55
GMB,Gambia,2416668,68962,-3087,0.0294,5.3,18,0.59
BWA,Botswana,2351627,47930,3000,0.0208,2.9,24,0.73
GAB,Gabon,2225734,53155,3260,0.0245,4,23,0.87
LSO,Lesotho,2142249,16981,-10047,0.008,3.2,24,0.31
MKD,North Macedonia,2083374,-85,-1000,0,1.5,39,0.59
SVN,Slovenia,2078938,284,2000,0.0001,1.6,45,0.55
GNB,Guinea-Bissau,1968001,47079,-1399,0.0245,4.5,19,0.45
LVA,Latvia,1886198,-20545,-14837,-0.0108,1.7,44,0.69
,Bahrain,1701575,60403,47800,0.0368,2,32,0.89
GNQ,Equatorial Guinea,1402985,46999,16000,0.0347,4.6,22,0.73
TTO,Trinidad and Tobago,1399488,4515,-800,0.0032,1.7,36,0.52
EST,Estonia,1326535,887,3911,0.0007,1.6,42,0.68
TLS,Timor-Leste,1318445,25326,-5385,0.0196,4.1,21,0.33
MRT,Mauritius,1271768,2100,0,0.0017,1.4,37,0.41
CYP,Cyprus,1207359,8784,5000,0.0073,1.3,37,0.67
SWZ,Eswatini,1160164,12034,-8353,0.0105,3,21,0.3
DJI,Djibouti,988000,14440,900,0.0148,2.8,27,0.79
FJI,Fiji,896445,6492,-6202,0.0073,2.8,28,0.59
,Réunion,895312,6385,-1256,0.0072,2.3,36,1
,Comoros,869601,18715,-2000,0.022,4.2,20,0.29
GUY,Guyana,786552,3786,-6000,0.0048,2.5,27,0.27
BTN,Bhutan,771608,8516,320,0.0112,2,28,0.46
SLB,Solomon Islands,686884,17061,-1600,0.0255,4.4,20,0.23
,Macao,649335,8890,5000,0.0139,1.2,39,N.A.
MNE,Montenegro,628066,79,-480,0.0001,1.8,39,0.68
LUX,Luxembourg,625978,10249,9741,0.0166,1.5,40,0.88
SAH,Western Sahara,597339,14876,5582,0.0255,2.4,28,0.87
SUR,Suriname,586632,5260,-1000,0.009,2.4,29,0.65
,Cabo Verde,555987,6052,-1342,0.011,2.3,28,0.68
,Maldives,540544,9591,11370,0.0181,1.9,30,0.35
,Malta,441543,1171,900,0.0027,1.5,43,0.93
BRN,Brunei,437479,4194,0,0.0097,1.8,32,0.8
,Guadeloupe,400124,68,-1440,0.0002,2.2,44,N.A.
BLZ,Belize,397628,7275,1200,0.0186,2.3,25,0.46
BHS,Bahamas,393244,3762,1000,0.0097,1.8,32,0.86
,Martinique,375265,-289,-960,-0.0008,1.9,47,0.92
ISL,Iceland,341243,2212,380,0.0065,1.8,37,0.94
VUT,Vanuatu,307145,7263,120,0.0242,3.8,21,0.24
,French Guiana,298682,7850,1200,0.027,3.4,25,0.87
,Barbados,287375,350,-79,0.0012,1.6,40,0.31
NCL,New Caledonia,285498,2748,502,0.0097,2,34,0.72
,French Polynesia,280908,1621,-1000,0.0058,2,34,0.64
,Mayotte,272815,6665,0,0.025,3.7,20,0.46
CA-PE,Sao Tome & Principe,219159,4103,-1680,0.0191,4.4,19,0.74
,Samoa,198414,1317,-2803,0.0067,3.9,22,0.18
,Saint Lucia,183627,837,0,0.0046,1.4,34,0.19
,Channel Islands,173863,1604,1351,0.0093,1.5,43,0.3
,Guam,168775,1481,-506,0.0089,2.3,31,0.95
,Curaçao,164093,669,515,0.0041,1.8,42,0.89
,Kiribati,119449,1843,-800,0.0157,3.6,23,0.57
,Micronesia,115023,1208,-600,0.0106,3.1,24,0.21
,Grenada,112523,520,-200,0.0046,2.1,32,0.35
,St. Vincent & Grenadines,110940,351,-200,0.0032,1.9,33,0.53
,Aruba,106766,452,201,0.0043,1.9,41,0.44
,Tonga,105695,1201,-800,0.0115,3.6,22,0.24
,U.S. Virgin Islands,104425,-153,-451,-0.0015,2,43,0.96
,Seychelles,98347,608,-200,0.0062,2.5,34,0.56
,Antigua and Barbuda,97929,811,0,0.0084,2,34,0.26
,Isle of Man,85033,449,,0.0053,N.A.,N.A.,0.53
,Andorra,77265,123,,0.0016,N.A.,N.A.,0.88
,Dominica,71986,178,,0.0025,N.A.,N.A.,0.74
,Cayman Islands,65722,774,,0.0119,N.A.,N.A.,0.97
,Bermuda,62278,-228,,-0.0036,N.A.,N.A.,0.97
,Marshall Islands,59190,399,,0.0068,N.A.,N.A.,0.7
,Northern Mariana Islands,57559,343,,0.006,N.A.,N.A.,0.88
GRL,Greenland,56770,98,,0.0017,N.A.,N.A.,0.87
,American Samoa,55191,-121,,-0.0022,N.A.,N.A.,0.88
,Saint Kitts & Nevis,53199,376,,0.0071,N.A.,N.A.,0.33
,Faeroe Islands,48863,185,,0.0038,N.A.,N.A.,0.43
,Sint Maarten,42876,488,,0.0115,N.A.,N.A.,0.96
,Monaco,39242,278,,0.0071,N.A.,N.A.,N.A.
,Turks and Caicos,38717,526,,0.0138,N.A.,N.A.,0.89
,Saint Martin,38666,664,,0.0175,N.A.,N.A.,0
,Liechtenstein,38128,109,,0.0029,N.A.,N.A.,0.15
,San Marino,33931,71,,0.0021,N.A.,N.A.,0.97
,Gibraltar,33691,-10,,-0.0003,N.A.,N.A.,N.A.
,British Virgin Islands,30231,201,,0.0067,N.A.,N.A.,0.52
,Caribbean Netherlands,26223,244,,0.0094,N.A.,N.A.,0.75
,Palau,18094,86,,0.0048,N.A.,N.A.,N.A.
,Cook Islands,17564,16,,0.0009,N.A.,N.A.,0.75
,Anguilla,15003,134,,0.009,N.A.,N.A.,N.A.
,Tuvalu,11792,146,,0.0125,N.A.,N.A.,0.62
,Wallis & Futuna,11239,-193,,-0.0169,N.A.,N.A.,0
,Nauru,10824,68,,0.0063,N.A.,N.A.,N.A.
,Saint Barthelemy,9877,30,,0.003,N.A.,N.A.,0
,Saint Helena,6077,18,,0.003,N.A.,N.A.,0.27
,Saint Pierre & Miquelon,5794,-28,,-0.0048,N.A.,N.A.,1
,Montserrat,4992,3,,0.0006,N.A.,N.A.,0.1
FLK,Falkland Islands,3480,103,,0.0305,N.A.,N.A.,0.66
,Niue,1626,11,,0.0068,N.A.,N.A.,0.46
,Tokelau,1357,17,,0.0127,N.A.,N.A.,0
,Holy See,801,2,,0.0025,N.A.,N.A.,N.A.
